=== Nodo: host06 ===
CPUs: 16   Mem: 16384   Time: 'n/d'
Contenedor: /mnt/beegfs/home/mdroguett/Memoria/Evaluaci-n-Num-rica-de-la-Conjetura-de-Oertel-para-el-caso-unidimensional/ortel.sif
=========================
=== Lanzando experimentos seedless con 16 workers ===
Z=[0, 1, 2] | D=2 | N=300000 | N_cp=100 | N_hip=1000 | thr=0.18

>>> n_point=5 — 100 réplicas
[PROG] n_point=8: 10/100 (ok=0, err=10)
[PROG] n_point=8: 11/100 (ok=0, err=11)
[PROG] n_point=8: 12/100 (ok=0, err=12)
[PROG] n_point=8: 13/100 (ok=0, err=13)
[PROG] n_point=8: 14/100 (ok=0, err=14)
[PROG] n_point=8: 15/100 (ok=0, err=15)
[PROG] n_point=8: 16/100 (ok=0, err=16)
[PROG] n_point=8: 17/100 (ok=0, err=17)
[PROG] n_point=8: 18/100 (ok=0, err=18)
[PROG] n_point=8: 19/100 (ok=0, err=19)
[PROG] n_point=8: 20/100 (ok=0, err=20)
[PROG] n_point=8: 21/100 (ok=0, err=21)
[PROG] n_point=8: 22/100 (ok=0, err=22)
[PROG] n_point=8: 23/100 (ok=0, err=23)
[PROG] n_point=8: 24/100 (ok=0, err=24)
[PROG] n_point=8: 25/100 (ok=0, err=25)
[PROG] n_point=8: 26/100 (ok=0, err=26)
[PROG] n_point=8: 27/100 (ok=0, err=27)
[PROG] n_point=8: 28/100 (ok=0, err=28)
[PROG] n_point=8: 29/100 (ok=0, err=29)
[PROG] n_point=8: 30/100 (ok=0, err=30)
[PROG] n_point=8: 31/100 (ok=0, err=31)
[PROG] n_point=8: 32/100 (ok=0, err=32)
[PROG] n_point=8: 33/100 (ok=0, err=33)
[PROG] n_point=8: 34/100 (ok=0, err=34)
[PROG] n_point=8: 35/100 (ok=0, err=35)
[PROG] n_point=8: 36/100 (ok=0, err=36)
[PROG] n_point=8: 37/100 (ok=0, err=37)
[PROG] n_point=8: 38/100 (ok=0, err=38)
[PROG] n_point=8: 39/100 (ok=0, err=39)
[PROG] n_point=8: 40/100 (ok=0, err=40)
[PROG] n_point=8: 41/100 (ok=0, err=41)
[PROG] n_point=8: 42/100 (ok=0, err=42)
[PROG] n_point=8: 43/100 (ok=0, err=43)
[PROG] n_point=8: 44/100 (ok=0, err=44)
[PROG] n_point=8: 45/100 (ok=0, err=45)
[PROG] n_point=8: 46/100 (ok=0, err=46)
[PROG] n_point=8: 47/100 (ok=0, err=47)
[PROG] n_point=8: 48/100 (ok=0, err=48)
[PROG] n_point=8: 49/100 (ok=0, err=49)
[PROG] n_point=8: 50/100 (ok=0, err=50)
[PROG] n_point=8: 51/100 (ok=0, err=51)
[PROG] n_point=8: 52/100 (ok=0, err=52)
[PROG] n_point=8: 53/100 (ok=0, err=53)
[PROG] n_point=8: 54/100 (ok=0, err=54)
[PROG] n_point=8: 55/100 (ok=0, err=55)
[PROG] n_point=8: 56/100 (ok=0, err=56)
[PROG] n_point=8: 57/100 (ok=0, err=57)
[PROG] n_point=8: 58/100 (ok=0, err=58)
[PROG] n_point=8: 59/100 (ok=0, err=59)
[PROG] n_point=8: 60/100 (ok=0, err=60)
[PROG] n_point=8: 61/100 (ok=0, err=61)
[PROG] n_point=8: 62/100 (ok=0, err=62)
[PROG] n_point=8: 63/100 (ok=0, err=63)
[PROG] n_point=8: 64/100 (ok=0, err=64)
[PROG] n_point=8: 65/100 (ok=0, err=65)
[PROG] n_point=8: 66/100 (ok=0, err=66)
[PROG] n_point=8: 67/100 (ok=0, err=67)
[PROG] n_point=8: 68/100 (ok=0, err=68)
[PROG] n_point=8: 69/100 (ok=0, err=69)
[PROG] n_point=8: 70/100 (ok=0, err=70)
[PROG] n_point=8: 71/100 (ok=0, err=71)
[PROG] n_point=8: 72/100 (ok=0, err=72)
[PROG] n_point=8: 73/100 (ok=0, err=73)
[PROG] n_point=8: 74/100 (ok=0, err=74)
[PROG] n_point=8: 75/100 (ok=0, err=75)
[PROG] n_point=8: 76/100 (ok=0, err=76)
[PROG] n_point=8: 77/100 (ok=0, err=77)
[PROG] n_point=8: 78/100 (ok=0, err=78)
[PROG] n_point=8: 79/100 (ok=0, err=79)
[PROG] n_point=8: 80/100 (ok=0, err=80)
[PROG] n_point=8: 81/100 (ok=0, err=81)
[PROG] n_point=8: 82/100 (ok=0, err=82)
[PROG] n_point=8: 83/100 (ok=0, err=83)
[PROG] n_point=8: 84/100 (ok=0, err=84)
[PROG] n_point=8: 85/100 (ok=0, err=85)
[PROG] n_point=8: 86/100 (ok=0, err=86)
[PROG] n_point=8: 87/100 (ok=0, err=87)
[PROG] n_point=8: 88/100 (ok=0, err=88)
[PROG] n_point=8: 89/100 (ok=0, err=89)
[PROG] n_point=8: 90/100 (ok=0, err=90)
[PROG] n_point=8: 91/100 (ok=0, err=91)
[PROG] n_point=8: 92/100 (ok=0, err=92)
[PROG] n_point=8: 93/100 (ok=0, err=93)
[PROG] n_point=8: 94/100 (ok=0, err=94)
[PROG] n_point=8: 95/100 (ok=0, err=95)
[PROG] n_point=8: 96/100 (ok=0, err=96)
[PROG] n_point=8: 97/100 (ok=0, err=97)
[PROG] n_point=8: 98/100 (ok=0, err=98)
[PROG] n_point=8: 99/100 (ok=0, err=99)
[PROG] n_point=8: 100/100 (ok=0, err=100)
[DONE] n_point=8: ok=0, err=100

>>> n_point=11 — 50 réplicas
[PROG] n_point=11: 1/50 (ok=0, err=1)
[PROG] n_point=11: 2/50 (ok=0, err=2)
