seed,n_point,F,bestcp
1,11,0.3496724212137153,"[0.0, 0.4227169069454373, 0.5895020620840481]"
10,11,0.26273952884627744,"[1.0, 0.6138883610359921, 0.5311695453871681]"
11,11,0.37454806858785966,"[0.0, 0.5021592091590938, 0.4489960917456721]"
12,11,0.2784402504849228,"[0.0, 0.5464398631696714, 0.5645631535911387]"
13,11,0.31645975350999955,"[1.0, 0.5826751472313618, 0.5846239831347064]"
14,11,0.2678630279706154,"[0.0, 0.6331373954105736, 0.5007398668876059]"
15,11,0.2633864253513833,"[1.0, 0.48414201670825785, 0.683090735784935]"
16,11,0.32000528124773736,"[0.0, 0.4267458202889547, 0.45790591131320846]"
17,11,0.341297919978123,"[1.0, 0.3858240375891985, 0.42816449909360843]"
18,11,0.26220842830124635,"[0.0, 0.6642032633236872, 0.5024371202574918]"
19,11,0.2604475887445118,"[1.0, 0.4990311255160551, 0.5566553089126894]"
2,11,0.33358190920075953,"[1.0, 0.4683243818567153, 0.35504944704024455]"
20,11,0.28569157507569354,"[1.0, 0.45984812065223757, 0.2958112968254487]"
21,11,0.38166739177724607,"[1.0, 0.6560873517444038, 0.4403019037015443]"
22,11,0.3785920065515274,"[0.0, 0.41673202304119017, 0.6063814336878434]"
23,11,0.15312347088566303,"[0.0, 0.5783593242921524, 0.5181753241019371]"
24,11,0.3293929565123822,"[0.0, 0.5977406372616365, 0.3074423124793745]"
25,11,0.2241005040171665,"[0.0, 0.451980342301886, 0.3818275256744177]"
26,11,0.34223421199027615,"[1.0, 0.47786465868206196, 0.4800358338412287]"
27,11,0.2855952021303973,"[0.0, 0.5610644624175171, 0.6179938402140672]"
28,11,0.4131692467502489,"[0.0, 0.5677684396031347, 0.43533168310534076]"
29,11,0.3074242221925491,"[1.0, 0.544560519910445, 0.6429371504854869]"
3,11,0.25262767404476316,"[0.0, 0.5116450272870918, 0.33643108386183496]"
30,11,0.24097331240188383,"[0.0, 0.38734608432139517, 0.5814100616336734]"
31,11,0.21444411923631124,"[1.0, 0.36180225905857366, 0.47596611356273544]"
32,11,0.22248497920197194,"[0.0, 0.6687754042702724, 0.6600679755938986]"
33,11,0.2207891908490711,"[1.0, 0.44238510235877815, 0.32380053450780955]"
34,11,0.24214554962593932,"[1.0, 0.6714326879324926, 0.6274956270889447]"
35,11,0.2526551855456353,"[0.0, 0.28762016167293425, 0.2896409676368613]"
36,11,0.21940897615198793,"[0.0, 0.37437203246515005, 0.41977321126285017]"
37,11,0.4297057345965243,"[0.0, 0.4583294211933332, 0.384648556601927]"
38,11,0.24059681529813653,"[1.0, 0.3559209864878694, 0.505486157243384]"
39,11,0.3653412613425013,"[0.0, 0.47323746268525035, 0.5156359089813172]"
4,11,0.21966817611748823,"[1.0, 0.7842760222170254, 0.6283150439341991]"
40,11,0.24965906185186235,"[1.0, 0.39955170495034464, 0.31284022249792864]"
41,11,0.3173931973993963,"[1.0, 0.648897192558809, 0.6436186009861141]"
42,11,0.32028754509024504,"[0.0, 0.5551980423268247, 0.6339751116810851]"
43,11,0.2965350206428492,"[1.0, 0.5713454260675248, 0.48334962139319915]"
44,11,0.1875440100419435,"[0.0, 0.3831278308783803, 0.704514892740968]"
45,11,0.23293579966466546,"[1.0, 0.7056394327700938, 0.5168638217765055]"
46,11,0.3120762848368137,"[0.0, 0.6074925996741666, 0.41672969108913327]"
47,11,0.35420184349655387,"[1.0, 0.574468752620949, 0.5031601349657646]"
48,11,0.3047818627733192,"[1.0, 0.4571937367058283, 0.37057738390187256]"
49,11,0.37082042387761566,"[0.0, 0.6062265622893178, 0.4252026734468666]"
5,11,0.24146253110842433,"[1.0, 0.40122574799263144, 0.5532500397935409]"
50,11,0.4190733573048118,"[0.0, 0.43782205119907136, 0.5855746381902066]"
6,11,0.314914499176315,"[1.0, 0.418342830892918, 0.5427339293852906]"
7,11,0.3578005152526495,"[1.0, 0.5736411794985231, 0.6387499660221029]"
8,11,0.30486539802391033,"[0.0, 0.509974007901371, 0.5650279397645245]"
9,11,0.386426418569078,"[1.0, 0.5004013271784574, 0.568854340604399]"
